name,genres,popularity
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",84
Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",81
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",85
Diplo,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",82
Fred again..,"['edm', 'house', 'stutter house']",80
Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",82
Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76
DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",79
Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",77
Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",81
Disclosure,"['edm', 'house', 'indietronica', 'uk dance']",77
ILLENIUM,"['edm', 'melodic dubstep', 'pop dance']",72
Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",77
Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",77
ODESZA,"['chillwave', 'edm', 'indietronica']",69
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",76
Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77
Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",75
Robin Schulz,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",78
Armin van Buuren,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",77
MEDUZA,"['edm', 'pop dance', 'pop house', 'uk dance']",76
R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75
Steve Aoki,"['edm', 'electro house', 'pop dance']",73
Topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']",76
Galantis,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71
Chris Lake,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",71
deadmau5,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",68
Loud Luxury,"['edm', 'pop dance']",68
Sofi Tukker,['edm'],69
Gryffin,"['edm', 'pop dance']",68
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",65
Felix Jaehn,"['edm', 'german dance', 'pop dance', 'tropical house', 'uk dance']",75
Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",75
Hippie Sabotage,"['edm', 'electronic trap']",68
W&W,"['big room', 'dutch house', 'dutch trance', 'edm', 'electro house', 'pop dance', 'progressive electro house']",74
Kaskade,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",65
Vintage Culture,['brazilian edm'],74
Jax Jones,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance']",73
Seven Lions,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']",62
Deorro,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",68
Sam Feldt,"['edm', 'pop dance', 'tropical house']",70
Don Diablo,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",68
