name,genres,popularity
Travis Scott,"['rap', 'slap house']",94
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",84
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",85
Diplo,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79
Daft Punk,"['electro', 'filter house', 'rock']",82
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",82
Fred again..,"['edm', 'house', 'stutter house']",80
Alan Walker,['electro house'],82
Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",81
John Summit,['house'],74
FISHER,"['australian house', 'house']",79
Disclosure,"['edm', 'house', 'indietronica', 'uk dance']",77
Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",77
Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",77
Alok,"['electro house', 'pop nacional', 'slap house']",80
Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",76
Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",77
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",75
Robin Schulz,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",78
Armin van Buuren,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",77
MEDUZA,"['edm', 'pop dance', 'pop house', 'uk dance']",76
R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",75
HUGEL,['deep house'],77
Keinemusik,['melodic house'],77
Adam Port,['melodic house'],77
Dom Dolla,"['australian house', 'deep groove house', 'house']",70
Steve Aoki,"['edm', 'electro house', 'pop dance']",73
Galantis,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71
Gabry Ponte,"['eurodance', 'italo dance', 'slap house']",76
Chris Lake,"['bass house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'tech house', 'uk dance']",71
Lavern,['stutter house'],71
deadmau5,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",68
Becky Hill,"['pop dance', 'pop house', 'uk dance', 'uk pop']",74
Jonas Blue,"['pop', 'pop dance', 'tropical house', 'uk dance']",74
Porter Robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",65
SAINt JHN,"['melodic rap', 'slap house']",69
Felix Jaehn,"['edm', 'german dance', 'pop dance', 'tropical house', 'uk dance']",75
Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",75
Justice,"['alternative dance', 'dance-punk', 'electronica', 'filter house', 'indietronica', 'new rave']",68
W&W,"['big room', 'dutch house', 'dutch trance', 'edm', 'electro house', 'pop dance', 'progressive electro house']",74
Purple Disco Machine,"['deep house', 'house']",74
FKJ,"['filter house', 'indie soul']",69
Kaskade,"['edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'vocal house']",65
Imanbek,"['electro house', 'pop dance', 'slap house']",71
Jax Jones,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance']",73
berlioz,['jazz house'],68
Seven Lions,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']",62
Deorro,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",68
James Hype,"['deep groove house', 'house', 'pop dance', 'uk dance']",71
D.O.D,"['electro house', 'house', 'pop dance', 'uk dance']",70
Sam Feldt,"['edm', 'pop dance', 'tropical house']",70
Don Diablo,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",68
Bob Sinclar,"['disco house', 'filter house']",73
BUNT.,['stutter house'],69
Regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']",69
Zeds Dead,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'progressive electro house']",60
Sonny Fodera,"['house', 'pop dance', 'uk dance']",70
Emmit Fenn,"['chill house', 'vapor soul']",66
Bakermat,"['minimal tech house', 'tropical house']",70
Azealia Banks,"['escape room', 'hip house', 'lgbtq+ hip hop', 'trap queen']",65
Ben Böhmer,['melodic house'],68
Stromae,"['belgian pop', 'g-house']",72
MNEK,"['house', 'pop dance', 'uk contemporary r&b', 'uk dance', 'uk pop']",69
RL Grime,"['brostep', 'edm', 'electro house', 'electronic trap']",62
Anyma,['stutter house'],70
Oliver Heldens,"['dutch house', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",69
Rezz,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']",60
RSCL,['stutter house'],66
Gigamesh,"['filter house', 'nu disco']",63
Lane 8,"['gauze pop', 'melodic house', 'progressive house']",62
MK,"['house', 'pop dance']",68
La Bouche,"['diva house', 'eurodance', 'europop', 'german techno']",69
Edward Maya,"['romanian house', 'romanian pop']",69
Dillon Francis,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']",62
nimino,['melodic house'],66
ZHU,"['edm', 'electro house']",64
Cedric Gervais,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",66
