name,genres,popularity
Taylor Swift,['pop'],100
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96
Sabrina Carpenter,['pop'],95
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
Billie Eilish,"['art pop', 'pop']",96
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",92
Chappell Roan,['indie pop'],90
SZA,"['pop', 'r&b', 'rap']",90
Bruno Mars,"['dance pop', 'pop']",94
Lana Del Rey,"['art pop', 'pop']",92
Noah Kahan,"['pov: indie', 'singer-songwriter pop']",87
Ariana Grande,['pop'],92
Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",92
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",87
Lady Gaga,"['art pop', 'dance pop', 'pop']",91
Charli xcx,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",89
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",87
Olivia Rodrigo,['pop'],89
Coldplay,"['permanent wave', 'pop']",92
Justin Bieber,"['canadian pop', 'pop']",91
Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",87
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",92
Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90
Doja Cat,"['dance pop', 'pop']",87
Jelly Roll,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']",82
Beyoncé,"['pop', 'r&b']",87
Kali Uchis,['colombian pop'],85
Benson Boone,['singer-songwriter pop'],86
Imagine Dragons,"['modern rock', 'pop', 'rock']",89
Khalid,"['pop', 'pop r&b']",85
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90
Tate McRae,['pop'],85
Ty Dolla $ign,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",85
Jimin,['k-pop'],89
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",86
Megan Thee Stallion,"['houston rap', 'pop', 'rap', 'trap queen']",83
Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",89
JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",85
Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",82
Clairo,"['bedroom pop', 'indie pop', 'pov: indie']",82
Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",86
Katy Perry,['pop'],87
Dua Lipa,"['dance pop', 'pop', 'uk pop']",88
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",87
Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",84
Maroon 5,['pop'],87
Pitbull,"['dance pop', 'miami hip hop', 'pop']",86
Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",82
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",88
Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",84
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",83
Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",87
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",85
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",84
beabadoobee,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']",81
Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",88
BTS,"['k-pop', 'k-pop boy group', 'pop']",87
Harry Styles,['pop'],84
Megan Moroney,"['contemporary country', 'modern country pop']",77
OneRepublic,"['piano rock', 'pop']",85
Cody Johnson,"['classic texas country', 'contemporary country', 'modern country pop']",77
Shaboozey,"['modern country pop', 'pop rap']",81
Justin Timberlake,"['dance pop', 'pop']",83
Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",83
Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",80
The Lumineers,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",80
Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",85
DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",79
Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",82
Miley Cyrus,['pop'],84
Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",80
Jung Kook,['k-pop'],87
T-Pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",79
Romeo Santos,"['bachata', 'latin hip hop', 'latin pop', 'trap latino', 'urbano latino']",84
mgk,"['ohio hip hop', 'pop rap']",79
Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",79
Cardi B,"['pop', 'rap']",81
Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",86
Dominic Fike,"['alternative pop rock', 'pov: indie']",79
Lainey Wilson,"['contemporary country', 'modern country pop']",76
Phoebe Bridgers,"['indie pop', 'la indie', 'pov: indie']",79
NF,"['hip hop', 'pop rap']",79
blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",80
HARDY,"['contemporary country', 'modern country pop']",76
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",85
Riley Green,"['contemporary country', 'modern country pop']",76
Treaty Oak Revival,"['modern country pop', 'texas country']",75
Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",80
Akon,['dance pop'],83
Bailey Zimmerman,"['contemporary country', 'modern country pop']",76
Pharrell Williams,"['dance pop', 'pop']",81
Sam Smith,"['pop', 'uk pop']",84
Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",83
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",85
Paramore,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",79
Kesha,"['dance pop', 'pop']",80
Britney Spears,"['dance pop', 'pop']",83
Koe Wetzel,"['classic texas country', 'modern country pop']",75
Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",84
Sia,['pop'],85
Melanie Martinez,"['alt z', 'electropop', 'pop']",80
The Marías,"['bedroom pop', 'la indie']",77
The Chainsmokers,['pop'],83
Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
P!nk,"['dance pop', 'pop']",82
Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",78
Jessie Murph,"['modern country pop', 'singer-songwriter pop']",76
My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",79
NewJeans,"['k-pop', 'k-pop girl group']",82
Bon Iver,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",79
d4vd,"['bedroom pop', 'bedroom r&b']",79
Panic! At The Disco,['pop'],78
Conan Gray,"['bedroom pop', 'pop', 'pov: indie']",80
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",84
Diplo,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",79
Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",80
Camila Cabello,"['dance pop', 'pop']",82
Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
Joji,['viral pop'],80
Pierce The Veil,"['modern rock', 'pop punk', 'screamo']",75
Selena Gomez,"['pop', 'post-teen pop']",82
2 Chainz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
JID,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",78
Alicia Keys,"['neo soul', 'pop', 'r&b']",81
Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81
Kehlani,"['pop', 'r&b', 'rap']",77
Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",76
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",84
Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",82
LE SSERAFIM,['k-pop girl group'],82
Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",78
Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
Troye Sivan,"['australian pop', 'pop', 'viral pop']",79
FINNEAS,"['alt z', 'la indie', 'pop', 'pov: indie']",72
Russ,"['hawaiian hip hop', 'pop rap']",76
Aventura,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",82
Eyedress,"['noise pop', 'pov: indie']",77
PinkPantheress,['bedroom pop'],77
Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",81
Meghan Trainor,"['hip pop', 'pop']",80
Warren Zeiders,['modern country pop'],74
Tems,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78
ABBA,"['europop', 'swedish pop']",82
Zach Top,['modern country pop'],72
T.I.,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
Faye Webster,"['atlanta indie', 'indie pop']",74
Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",79
ERNEST,['modern country pop'],73
Tyga,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",79
Bebe Rexha,"['dance pop', 'pop']",81
Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",74
Gigi Perez,['bedroom pop'],77
Timbaland,"['dance pop', 'pop', 'pop rap']",79
G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",78
Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",80
Avicii,"['dance pop', 'edm', 'pop', 'pop dance']",82
The Cranberries,"['irish rock', 'pop rock', 'rock']",78
Alex Warren,"['gen z singer-songwriter', 'singer-songwriter pop']",78
Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",75
Lewis Capaldi,"['pop', 'uk pop']",81
Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",82
Gavin Adcock,['modern country pop'],71
ENHYPEN,"['anime', 'k-pop boy group']",81
Madonna,"['dance pop', 'pop']",81
Ski Mask The Slump God,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",74
ROSALÍA,"['pop', 'r&b en espanol']",83
Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",75
Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",76
ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75
Florence + The Machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",78
girl in red,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",78
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",75
Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",75
Connor Price,['singer-songwriter pop'],75
The Red Clay Strays,['modern country pop'],72
Charlie Puth,"['pop', 'viral pop']",82
JVKE,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",77
Christina Aguilera,"['dance pop', 'pop']",79
Luis Miguel,"['bolero', 'latin pop']",84
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",78
Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop']",78
blackbear,"['alt z', 'pop']",75
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",76
Myles Smith,['singer-songwriter pop'],79
Hotel Ugly,['modern indie pop'],76
Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",75
Carrie Underwood,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']",72
Nate Smith,"['contemporary country', 'modern country pop']",74
YG,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",74
Demi Lovato,"['pop', 'post-teen pop']",78
Ava Max,['pop'],80
Tucker Wetmore,['modern country pop'],72
Jason Derulo,"['dance pop', 'pop']",79
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",79
Macklemore,"['pop rap', 'seattle hip hop']",78
Mustard,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",74
wave to earth,['korean city pop'],78
Gregory Alan Isakov,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']",73
Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",78
Willie Nelson,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",73
Dolly Parton,"['classic country pop', 'country', 'country dawn']",75
Camilo,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano', 'urbano latino']",81
Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",76
LISA,['k-pop'],82
Vance Joy,"['folk-pop', 'modern rock']",77
Adrianne Lenker,"['countrygaze', 'indie pop', 'small room']",73
Alec Benjamin,"['alt z', 'pop', 'pov: indie']",76
DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",75
SEVENTEEN,"['k-pop', 'k-pop boy group']",81
Rex Orange County,['bedroom pop'],76
Ella Langley,['modern country pop'],72
Juicy J,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75
DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",79
*NSYNC,"['boy band', 'dance pop', 'pop']",78
Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",75
5 Seconds of Summer,"['boy band', 'pop']",77
Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",77
James Arthur,"['pop', 'talent show', 'uk pop']",81
Sade,"['british soul', 'sophisti-pop']",77
aespa,['k-pop girl group'],81
Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",79
Labrinth,"['indie poptimism', 'pop']",78
Måneskin,"['indie rock italiano', 'italian pop']",81
Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",82
Burna Boy,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",81
TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",78
The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",76
Anitta,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",82
BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",81
David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",77
Noah Cyrus,"['alt z', 'pop']",75
Whitney Houston,"['dance pop', 'pop']",77
A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
Maggie Rogers,['indie pop'],71
Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",74
Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",81
John Legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",77
Wizkid,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",78
The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73
Tom Odell,['chill pop'],80
Sam Barber,['modern country pop'],71
Djo,"['pov: indie', 'psychedelic pop']",76
Bryan Martin,['modern country pop'],70
Gwen Stefani,"['dance pop', 'pop']",74
Jonas Brothers,"['boy band', 'pop']",76
Niall Horan,['pop'],76
Chance Peña,['singer-songwriter pop'],74
Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",79
Mark Ronson,['pop soul'],77
Maná,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",79
Parker McCollum,"['classic texas country', 'contemporary country', 'modern country pop', 'texas country']",68
ILLENIUM,"['edm', 'melodic dubstep', 'pop dance']",72
French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
TWICE,"['k-pop', 'k-pop girl group', 'pop']",79
Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71
Tove Lo,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",74
Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",71
Wyatt Flores,"['modern country pop', 'oklahoma country']",68
The Script,"['celtic rock', 'pop']",78
Tinashe,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b']",74
Kelly Clarkson,"['dance pop', 'pop', 'talent show']",74
ZAYN,"['pop', 'uk pop']",77
Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",70
JENNIE,['k-pop'],80
Sech,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",80
Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",76
Suki Waterhouse,['indie pop'],72
Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",77
Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",72
Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",72
Tech N9ne,"['detroit hip hop', 'kansas city hip hop', 'pop rap']",70
WILLOW,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",72
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",80
RAYE,"['uk contemporary r&b', 'uk pop']",78
Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",76
