name,genres,popularity
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",93
Travis Scott,"['rap', 'slap house']",94
Kanye West,"['chicago rap', 'hip hop', 'rap']",93
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",92
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",92
Eminem,"['detroit hip hop', 'hip hop', 'rap']",93
$uicideboy$,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",88
SZA,"['pop', 'r&b', 'rap']",90
21 Savage,"['atl hip hop', 'hip hop', 'rap']",89
Metro Boomin,['rap'],90
Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",90
Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",88
Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",87
XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']",89
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",87
Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",87
"Tyler, The Creator","['hip hop', 'rap']",87
Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",87
Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",85
Don Toliver,['rap'],87
Chris Brown,"['r&b', 'rap']",88
Brent Faiyaz,"['r&b', 'rap']",85
Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",87
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap']",86
YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",82
Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",85
Lil Tecca,"['melodic rap', 'pluggnb', 'rap']",84
Lil Peep,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",85
Jelly Roll,"['country rap', 'modern country pop', 'nashville hip hop', 'tennessee hip hop']",82
Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",83
Ken Carson,['rage rap'],82
Ty Dolla $ign,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",85
Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",83
Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82
Megan Thee Stallion,"['houston rap', 'pop', 'rap', 'trap queen']",83
JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",85
