name,genres,popularity
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
SZA,"['pop', 'r&b', 'rap']",90
Chris Brown,"['r&b', 'rap']",88
Brent Faiyaz,"['r&b', 'rap']",85
YoungBoy Never Broke Again,"['baton rouge rap', 'rap']",82
Beyoncé,"['pop', 'r&b']",87
Khalid,"['pop', 'pop r&b']",85
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90
Ty Dolla $ign,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",85
The Beatles,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",86
Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",83
PARTYNEXTDOOR,"['r&b', 'rap', 'urban contemporary']",83
Daniel Caesar,['canadian contemporary r&b'],83
Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",82
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",88
USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",83
Michael Jackson,"['r&b', 'soul']",85
Jhené Aiko,['r&b'],79
Miguel,"['r&b', 'urban contemporary']",81
Summer Walker,"['r&b', 'rap']",80
T-Pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",79
Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",79
Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",83
Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",85
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",78
The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",80
Chase Atlantic,['alternative r&b'],82
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",76
d4vd,"['bedroom pop', 'bedroom r&b']",79
Sleepy Hallow,"['brooklyn drill', 'nyc rap']",77
Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",76
Alicia Keys,"['neo soul', 'pop', 'r&b']",81
Kehlani,"['pop', 'r&b', 'rap']",77
Pop Smoke,"['brooklyn drill', 'hip hop', 'rap']",80
Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",79
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
keshi,['chill r&b'],79
Tems,"['afro r&b', 'afrobeats', 'alte', 'nigerian pop']",78
Giveon,['r&b'],78
H.E.R.,"['r&b', 'rap']",77
ROSALÍA,"['pop', 'r&b en espanol']",83
Florence + The Machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",78
Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",83
Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",75
Los Tigres Del Norte,"['banda', 'musica mexicana', 'norteno', 'ranchera']",78
Joan Sebastian,"['banda', 'grupera', 'musica mexicana', 'norteno', 'ranchera']",79
The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",74
Sonder,['experimental r&b'],72
Anitta,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",82
Doechii,['alternative r&b'],73
6LACK,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",74
Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",74
The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter', 'sunshine pop']",73
KAYTRANADA,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",73
Jungle,"['indie soul', 'uk contemporary r&b']",76
Rels B,"['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']",84
Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71
Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",71
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",74
Electric Light Orchestra,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73
Tinashe,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b']",74
Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",72
Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",72
Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",74
RAYE,"['uk contemporary r&b', 'uk pop']",78
Ozzy Osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",72
Big Thief,"['art pop', 'brooklyn indie', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock', 'pov: indie', 'small room']",71
Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",72
Grateful Dead,"['cosmic american', 'jam band', 'psychedelic rock']",67
Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",72
TLC,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",72
Jamie Foxx,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71
ZZ Top,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",72
The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",72
Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",73
Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",69
Masego,"['alternative r&b', 'indie soul']",72
Santana,"['blues rock', 'classic rock', 'mexican classic rock']",72
Victoria Monét,"['alternative r&b', 'r&b']",69
Grupo Bryndis,"['banda', 'grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'norteno']",73
AFROJACK,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",75
José José,"['bolero', 'cancion melodica', 'ranchera']",80
Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",69
Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",73
Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",80
Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70
Ella Mai,"['r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']",69
Smino,['alternative r&b'],67
Keyshia Cole,"['hip pop', 'r&b', 'urban contemporary']",71
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",72
Vansire,"['bedroom pop', 'rochester mn indie']",69
NIKI,['indonesian r&b'],78
Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']",67
Sheff G,"['brooklyn drill', 'new york drill', 'nyc rap']",69
Jacquees,"['atl hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'trap']",69
Crystal Castles,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",72
Tom MacDonald,"['bc underground hip hop', 'country rap', 'maga rap']",66
Sufjan Stevens,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",72
Matuê,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",83
Lloyd,"['hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",68
Vampire Weekend,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",68
Sevdaliza,"['alternative r&b', 'persian electronic']",77
Boosie Badazz,"['baton rouge rap', 'dirty south rap', 'memphis hip hop', 'southern hip hop', 'trap']",65
Erykah Badu,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",69
Lyanno,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",75
Blood Orange,"['alternative r&b', 'art pop', 'escape room', 'indie soul', 'indietronica', 'metropopolis']",69
