name,genres,popularity
Genki Rockets,"['japanese electropop', 'japanese jazztronica']",22
Gene Rockwell,"['afrikaans', 'south african country']",24
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",92
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",87
Imagine Dragons,"['modern rock', 'pop', 'rock']",89
The Beatles,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",86
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",86
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",87
Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",83
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",81
Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",84
Nirvana,"['grunge', 'permanent wave', 'rock']",84
Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",83
Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",84
Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",81
Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84
Creedence Clearwater Revival,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'rock', 'southern rock', 'swamp rock']",82
Queen,"['classic rock', 'glam rock', 'rock']",86
OneRepublic,"['piano rock', 'pop']",85
Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']",78
Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",81
The Lumineers,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",80
AC/DC,"['australian rock', 'hard rock', 'rock']",84
Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",84
Fall Out Boy,"['emo', 'modern rock', 'pop', 'rock']",80
System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']",82
Dominic Fike,"['alternative pop rock', 'pov: indie']",79
blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",80
Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",80
